noise_std,clip_threshold,epochs,learning_rate,Trial #,Mal. X-val,Mal. Y-val,MSE after attack,AVG MSE,Attack Success Rate
,,,,39,5,702,0.6974067124,,
,,,,40,2,490,0.05545673174,,
,,,,41,10,997,5.896135328,,
,,,,42,2,763,0.1184520838,,
,,,,43,7,343,0.3556522369,,
,,,,44,6,285,0.1822998487,,
,,,,45,7,221,0.154440491,,
,,,,46,6,716,1.070191654,,
,,,,47,4,439,0.1805542937,,
,,,,48,8,997,3.747631787,,
,,,,49,2,422,0.04385960759,,
,,,,50,1,253,0.01335840263,,
5,2,100000,0.0001,1,8,933,3.287688407,0.8870587809,12.00%
,,,,2,5,804,0.9171640595,,
,,,,3,5,517,0.3869675583,,
,,,,4,9,489,1.163487421,,
,,,,5,7,292,0.2541941867,,
,,,,6,8,824,2.582511005,,
,,,,7,2,842,0.1417267376,,
,,,,8,6,538,0.618576425,,
,,,,9,3,321,0.05884204106,,
,,,,10,6,952,1.869049511,,
,,,,11,4,985,0.8273456706,,
,,,,12,9,627,1.906297717,,
,,,,13,8,647,1.56806951,,
,,,,14,6,693,1.019031426,,
,,,,15,1,395,0.01746960775,,
,,,,16,5,684,0.668473324,,
,,,,17,4,332,0.1105724601,,
,,,,18,5,928,1.206768801,,
,,,,19,3,222,0.03387901214,,
,,,,20,6,996,2.051292481,,
,,,,21,8,232,0.2252409743,,
,,,,22,6,967,1.933569025,,
,,,,23,6,252,0.1485624899,,
,,,,24,8,569,1.229691272,,
,,,,25,4,378,0.1351230028,,
,,,,26,2,892,0.1584270361,,
,,,,27,3,339,0.06309962987,,
,,,,28,1,723,0.03611207957,,
,,,,29,4,512,0.2378744103,,
,,,,30,1,273,0.01422582346,,
,,,,31,8,571,1.225633286,,
,,,,32,6,795,1.297358575,,
,,,,33,3,763,0.2753151951,,
,,,,34,1,928,0.05526658822,,
,,,,35,3,538,0.1450451943,,
,,,,36,6,792,1.32049603,,
,,,,37,4,371,0.1311952057,,
,,,,38,10,717,3.052798319,,
,,,,39,7,298,0.268494499,,
,,,,40,7,766,1.68949116,,
,,,,41,8,544,1.128986764,,
,,,,42,5,657,0.6195345105,,
,,,,43,4,612,0.3315576304,,
,,,,44,3,597,0.1714847812,,
,,,,45,9,907,4.001955294,,
,,,,46,8,936,3.294929839,,
,,,,47,1,978,0.06112583772,,
,,,,48,2,780,0.1143377036,,
,,,,49,4,511,0.2360823705,,
,,,,50,1,998,0.06051715962,,
5,2,100000,0.001,1,8,799,2.418509475,1.125316475,20.00%
,,,,2,2,417,0.04311984005,,
,,,,3,7,975,2.720658874,,
,,,,4,2,651,0.08843339703,,
,,,,5,2,593,0.07540055566,,
,,,,6,9,481,1.128796081,,
,,,,7,3,987,0.4480752832,,
,,,,8,7,206,0.1357939921,,
,,,,9,8,424,0.6950069053,,
,,,,10,6,516,0.5651430275,,
,,,,11,7,755,1.641187385,,
,,,,12,4,850,0.6301966838,,
,,,,13,5,969,1.317058297,,
,,,,14,1,323,0.0155168309,,
,,,,15,9,889,3.80394003,,
,,,,16,3,863,0.3463934467,,
,,,,17,9,312,0.4853067691,,
,,,,18,6,878,1.600746089,,
,,,,19,2,454,0.04897715522,,
,,,,20,10,296,0.5388870565,,
,,,,21,9,898,3.877319121,,
,,,,22,9,787,2.98528644,,
,,,,23,10,404,0.9901397528,,
,,,,24,5,466,0.3178565713,,
,,,,25,8,531,1.080740426,,
,,,,26,7,607,1.069142671,,
,,,,27,2,766,0.1186317663,,
,,,,28,7,536,0.8367766993,,
,,,,29,7,755,1.642342205,,
,,,,30,8,894,3.020565857,,
,,,,31,3,918,0.3901285552,,
,,,,32,1,420,0.01925650791,,
,,,,33,7,480,0.6748689526,,
,,,,34,3,507,0.128840119,,
,,,,35,4,638,0.3617740774,,
,,,,36,7,423,0.5284874993,,
,,,,37,3,833,0.3237802497,,
,,,,38,1,631,0.03062015951,,
,,,,39,8,728,2.012964548,,
,,,,40,1,494,0.02264606336,,
,,,,41,10,886,4.670089401,,
,,,,42,8,850,2.732138066,,
,,,,43,4,887,0.6840228531,,
,,,,44,6,590,0.7343981545,,
,,,,45,7,597,1.032690903,,
,,,,46,10,947,5.329843016,,
,,,,47,7,574,0.9565165246,,
,,,,48,3,330,0.06175003193,,
,,,,49,6,591,0.735701786,,
,,,,50,7,217,0.1493576028,,
